id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Eulalia;Gottlieb;Maxine_Reinger85@yahoo.com;drive THX bypassing;2019-05-23T05:16:40;16162;78534
2;Stanford;Ortiz;Kris.Altenwerth@yahoo.com;invoice Home Gloves;2019-05-23T14:33:48;48561;69189
3;Isaias;O'Hara;Dana.Dare23@hotmail.com;circuit navigate;2019-05-23T12:08:30;74417;84922
4;Minerva;O'Kon;Kenyon50@gmail.com;withdrawal Ergonomic;2019-05-23T13:34:33;97301;97889
5;Glen;Kuhic;Susie_Murray@hotmail.com;Borders North Dakota;2019-05-23T15:54:45;86416;19524
6;Daren;Reichert;Earl76@yahoo.com;Intelligent Frozen Sausages Villages;2019-05-23T21:01:24;91486;88349
7;Furman;Rogahn;Veda42@gmail.com;Planner Strategist;2019-05-23T07:15:38;7534;29444
8;Elmo;Hoppe;Rowland48@gmail.com;mesh;2019-05-23T18:15:37;93615;84421
9;Maurice;Ward;Antoinette61@yahoo.com;Director Concrete Bedfordshire;2019-05-23T06:40:33;32255;74076
10;Rosetta;Predovic;Maymie_Quitzon@gmail.com;protocol;2019-05-23T17:39:29;81011;25620
